employee_id,job_title,department,location,salary,hire_date,termination_date,is_active,absence_days,sick_days,vacation_days_taken,bank_hours,overtime_hours,tardiness_count,gender,marital_status,number_of_dependents,education_level,performance_rating,bonus_percentage,shift,contract_type,cost_center,compliance_status,health_plan,email,tenure_years,probation_completed,manager_id,last_promotion_date,last_training_date
EMP_00001,Gerente de RH,Financeiro,Salvador,6993.43,2022-02-26,,True,3,2,13,52,20,6,Other,Widowed,4,Bachelors,5,7.58,Morning,Permanent,CC013,Compliant,Standard,emp_00001@company.com,3.34,True,EMP_00495,,2024-07-04
EMP_00002,Engenheiro de Dados,Marketing,Belo Horizonte,5723.47,2023-03-04,,True,1,1,14,-80,86,6,Male,Married,1,Bachelors,5,8.72,Morning,Temporary,CC026,Compliant,Basic,emp_00002@company.com,2.33,True,EMP_00345,2024-07-21,2024-02-01
EMP_00003,Desenvolvedor Python,Operações,Salvador,7295.38,2010-09-01,,True,3,5,25,149,23,1,Female,Divorced,1,Masters,4,7.93,Morning,Permanent,CC010,Compliant,Basic,emp_00003@company.com,14.84,True,EMP_00306,2014-10-18,2024-01-11
EMP_00004,Analista Financeiro,Operações,Porto Alegre,9046.06,2020-02-26,,True,2,1,21,-92,22,5,Male,Married,0,Bachelors,3,5.27,Morning,Permanent,CC008,Compliant,Standard,emp_00004@company.com,5.35,True,EMP_00971,,2025-01-05
EMP_00005,Engenheiro de Dados,Recursos Humanos,Curitiba,5531.69,2011-06-22,,True,1,2,15,93,72,3,Male,Single,0,Bachelors,2,10.95,Afternoon,Permanent,CC013,Compliant,Premium,emp_00005@company.com,14.03,True,EMP_00024,,2025-01-19
EMP_00006,Coordenador de TI,Marketing,Porto Alegre,5531.73,2019-06-29,,True,3,7,20,-88,4,8,Female,Single,2,High School,3,2.98,Afternoon,Permanent,CC024,Compliant,Premium,emp_00006@company.com,6.01,True,EMP_00288,,2024-01-05
EMP_00007,Analista Financeiro,Operações,Belo Horizonte,9158.43,2021-12-20,,True,2,2,13,-91,98,3,Male,Divorced,1,High School,5,3.72,Morning,Permanent,CC022,Compliant,Premium,emp_00007@company.com,3.53,True,EMP_00946,2024-02-25,2024-08-11
EMP_00008,Auxiliar Administrativo,Recursos Humanos,São Paulo,7534.87,2015-01-10,,True,2,6,15,196,31,1,Male,Widowed,2,Bachelors,1,13.05,Morning,Permanent,CC044,Compliant,Basic,emp_00008@company.com,10.48,True,EMP_00367,2017-01-27,2023-09-03
EMP_00009,Desenvolvedor Python,Jurídico,Porto Alegre,5061.05,2020-07-24,2021-08-16,False,2,3,22,-5,46,7,Female,Married,1,Bachelors,3,3.14,Morning,Permanent,CC004,Compliant,Basic,emp_00009@company.com,4.94,True,EMP_00147,2024-05-23,
EMP_00010,Consultor de BI,TI,Curitiba,7085.12,2020-05-24,,True,2,3,13,-59,1,4,Female,Widowed,0,High School,1,3.24,Morning,Temporary,CC014,Compliant,Basic,emp_00010@company.com,5.1,True,EMP_00174,,2024-12-15
