employee_id,gender,marital_status,number_of_dependents,education_level,email
EMP_00001,Outros,Widowed,4,Bachelors,emp_00001@company.com
EMP_00002,Masculino,Married,1,Bachelors,emp_00002@company.com
EMP_00003,Feminino,Divorced,1,Masters,emp_00003@company.com
EMP_00004,Masculino,Married,0,Bachelors,emp_00004@company.com
EMP_00005,Masculino,Single,0,Bachelors,emp_00005@company.com
EMP_00006,Feminino,Single,2,High School,emp_00006@company.com
EMP_00007,Masculino,Divorced,1,High School,emp_00007@company.com
EMP_00008,Masculino,Widowed,2,Bachelors,emp_00008@company.com
EMP_00009,Feminino,Married,1,Bachelors,emp_00009@company.com
EMP_00010,Feminino,Widowed,0,High School,emp_00010@company.com
EMP_00011,Feminino,Single,1,Masters,emp_00011@company.com
EMP_00012,Masculino,Widowed,0,Bachelors,emp_00012@company.com
EMP_00013,Feminino,Divorced,1,Bachelors,emp_00013@company.com
EMP_00014,Feminino,Married,1,Bachelors,emp_00014@company.com
EMP_00015,Feminino,Divorced,2,Bachelors,emp_00015@company.com
EMP_00016,Feminino,Married,2,Masters,emp_00016@company.com
EMP_00017,Masculino,Married,0,Bachelors,emp_00017@company.com
EMP_00018,Feminino,Single,1,Bachelors,emp_00018@company.com
EMP_00019,Masculino,Single,1,Masters,emp_00019@company.com
EMP_00020,Masculino,Divorced,1,High School,emp_00020@company.com
EMP_00021,Feminino,Divorced,1,High School,emp_00021@company.com
EMP_00022,Masculino,Single,2,Masters,emp_00022@company.com
EMP_00023,Feminino,Widowed,1,Bachelors,emp_00023@company.com
EMP_00024,Feminino,Divorced,0,High School,emp_00024@company.com
EMP_00025,Masculino,Single,0,Masters,emp_00025@company.com
EMP_00026,Feminino,Widowed,1,High School,emp_00026@company.com
EMP_00027,Feminino,Widowed,1,Bachelors,emp_00027@company.com
EMP_00028,Masculino,Married,1,High School,emp_00028@company.com
EMP_00029,Feminino,Married,2,Bachelors,emp_00029@company.com
EMP_00030,Feminino,Single,1,Bachelors,emp_00030@company.com
EMP_00031,Feminino,Divorced,1,High School,emp_00031@company.com
EMP_00032,Feminino,Single,2,High School,emp_00032@company.com
EMP_00033,Feminino,Widowed,0,High School,emp_00033@company.com
EMP_00034,Masculino,Widowed,0,High School,emp_00034@company.com
EMP_00035,Feminino,Widowed,0,High School,emp_00035@company.com
EMP_00036,Masculino,Divorced,0,Masters,emp_00036@company.com
EMP_00037,Masculino,Married,2,Bachelors,emp_00037@company.com
EMP_00038,Masculino,Widowed,0,High School,emp_00038@company.com
EMP_00039,Masculino,Widowed,4,Masters,emp_00039@company.com
EMP_00040,Masculino,Single,0,Bachelors,emp_00040@company.com
EMP_00041,Masculino,Widowed,2,Bachelors,emp_00041@company.com
EMP_00042,Masculino,Single,0,PhD,emp_00042@company.com
EMP_00043,Masculino,Single,2,High School,emp_00043@company.com
EMP_00044,Feminino,Widowed,2,Bachelors,emp_00044@company.com
EMP_00045,Feminino,Married,4,High School,emp_00045@company.com
EMP_00046,Feminino,Single,2,Bachelors,emp_00046@company.com
EMP_00047,Masculino,Divorced,0,Bachelors,emp_00047@company.com
EMP_00048,Feminino,Divorced,0,Bachelors,emp_00048@company.com
EMP_00049,Feminino,Married,4,Bachelors,emp_00049@company.com
EMP_00050,Feminino,Divorced,1,Bachelors,emp_00050@company.com
EMP_00051,Feminino,Married,3,Bachelors,emp_00051@company.com
EMP_00052,Feminino,Single,2,Masters,emp_00052@company.com
EMP_00053,Feminino,Single,1,Bachelors,emp_00053@company.com
EMP_00054,Feminino,Single,1,PhD,emp_00054@company.com
EMP_00055,Masculino,Widowed,1,Bachelors,emp_00055@company.com
EMP_00056,Feminino,Divorced,2,High School,emp_00056@company.com
EMP_00057,Masculino,Widowed,1,Masters,emp_00057@company.com
EMP_00058,Feminino,Single,1,High School,emp_00058@company.com
EMP_00059,Masculino,Widowed,1,High School,emp_00059@company.com
EMP_00060,Feminino,Divorced,0,Bachelors,emp_00060@company.com
EMP_00061,Masculino,Divorced,1,Masters,emp_00061@company.com
EMP_00062,Masculino,Single,0,Bachelors,emp_00062@company.com
EMP_00063,Masculino,Widowed,0,Bachelors,emp_00063@company.com
EMP_00064,Masculino,Married,0,High School,emp_00064@company.com
EMP_00065,Feminino,Widowed,0,Masters,emp_00065@company.com
EMP_00066,Feminino,Single,0,Masters,emp_00066@company.com
EMP_00067,Masculino,Widowed,1,Bachelors,emp_00067@company.com
EMP_00068,Outros,Single,0,High School,emp_00068@company.com
EMP_00069,Masculino,Single,2,High School,emp_00069@company.com
EMP_00070,Masculino,Divorced,0,High School,emp_00070@company.com
EMP_00071,Masculino,Single,3,Bachelors,emp_00071@company.com
EMP_00072,Feminino,Divorced,0,Masters,emp_00072@company.com
EMP_00073,Feminino,Divorced,0,High School,emp_00073@company.com
EMP_00074,Masculino,Divorced,0,Masters,emp_00074@company.com
EMP_00075,Feminino,Single,0,High School,emp_00075@company.com
EMP_00076,Feminino,Widowed,2,Bachelors,emp_00076@company.com
EMP_00077,Masculino,Single,2,Bachelors,emp_00077@company.com
EMP_00078,Masculino,Widowed,0,Masters,emp_00078@company.com
EMP_00079,Masculino,Divorced,2,Bachelors,emp_00079@company.com
EMP_00080,Masculino,Divorced,1,Bachelors,emp_00080@company.com
EMP_00081,Feminino,Widowed,2,Bachelors,emp_00081@company.com
EMP_00082,Feminino,Single,2,High School,emp_00082@company.com
EMP_00083,Masculino,Widowed,0,Masters,emp_00083@company.com
EMP_00084,Feminino,Single,2,High School,emp_00084@company.com
EMP_00085,Masculino,Married,0,Bachelors,emp_00085@company.com
EMP_00086,Feminino,Single,1,High School,emp_00086@company.com
EMP_00087,Feminino,Single,0,Bachelors,emp_00087@company.com
EMP_00088,Outros,Divorced,0,Bachelors,emp_00088@company.com
EMP_00089,Feminino,Divorced,0,Bachelors,emp_00089@company.com
EMP_00090,Feminino,Single,0,Masters,emp_00090@company.com
EMP_00091,Masculino,Married,0,High School,emp_00091@company.com
EMP_00092,Masculino,Divorced,3,Masters,emp_00092@company.com
EMP_00093,Feminino,Widowed,1,Masters,emp_00093@company.com
EMP_00094,Masculino,Single,0,Masters,emp_00094@company.com
EMP_00095,Feminino,Divorced,0,Bachelors,emp_00095@company.com
EMP_00096,Masculino,Widowed,1,High School,emp_00096@company.com
EMP_00097,Feminino,Divorced,0,High School,emp_00097@company.com
EMP_00098,Feminino,Single,0,Bachelors,emp_00098@company.com
EMP_00099,Feminino,Single,3,Bachelors,emp_00099@company.com
EMP_00100,Masculino,Married,1,Bachelors,emp_00100@company.com
EMP_00101,Feminino,Widowed,0,Bachelors,emp_00101@company.com
EMP_00102,Feminino,Divorced,0,Bachelors,emp_00102@company.com
EMP_00103,Feminino,Divorced,0,High School,emp_00103@company.com
EMP_00104,Masculino,Married,0,Masters,emp_00104@company.com
EMP_00105,Masculino,Divorced,2,Bachelors,emp_00105@company.com
EMP_00106,Masculino,Single,0,Bachelors,emp_00106@company.com
EMP_00107,Feminino,Divorced,1,Masters,emp_00107@company.com
EMP_00108,Masculino,Single,0,Bachelors,emp_00108@company.com
EMP_00109,Feminino,Widowed,0,Bachelors,emp_00109@company.com
EMP_00110,Masculino,Widowed,1,Bachelors,emp_00110@company.com
EMP_00111,Masculino,Divorced,3,Masters,emp_00111@company.com
EMP_00112,Masculino,Single,1,Bachelors,emp_00112@company.com
EMP_00113,Feminino,Single,1,Bachelors,emp_00113@company.com
EMP_00114,Masculino,Divorced,1,High School,emp_00114@company.com
EMP_00115,Masculino,Divorced,2,Masters,emp_00115@company.com
EMP_00116,Masculino,Divorced,2,Bachelors,emp_00116@company.com
EMP_00117,Masculino,Married,1,High School,emp_00117@company.com
EMP_00118,Masculino,Divorced,0,Masters,emp_00118@company.com
EMP_00119,Feminino,Widowed,3,Bachelors,emp_00119@company.com
EMP_00120,Feminino,Single,2,Masters,emp_00120@company.com
EMP_00121,Masculino,Single,0,Bachelors,emp_00121@company.com
EMP_00122,Masculino,Divorced,1,High School,emp_00122@company.com
EMP_00123,Masculino,Single,3,PhD,emp_00123@company.com
EMP_00124,Masculino,Widowed,3,Masters,emp_00124@company.com
EMP_00125,Feminino,Single,1,Bachelors,emp_00125@company.com
